title,company,location,semantic_similarity,first_seen_date,url
Dermoconsejero/a Multifunción Full Time - Lota (Lic Prolongada) ,Salcobrand,"Lota, Biobío",0.3242,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/dermoconsejero-a-multifuncion-full-time-lota-lic-prolongada/trabajo/6109495
Category Manager Videojuegos y Periféricos,cencosud,"Santiago, REGION METROPOLITANA, CL",0.3221,2026-08-05,https://cencosud.csod.com/ux/ats/careersite/5/home/requisition/14742?c=cencosud
"Jefe/a de Ventas, Full Time, Falabella Alto Las Condes",Falabella Retail,"Las Condes, Metropolitana, Chile",0.3204,2026-08-05,https://falabella.airavirtual.com/postula/ltxY2ZirUuraZH4afS5M?logged_action=apply&register=true
Asistente Comercial,Ripley,Tda Plaza El Trebol (Gesic) - Sucursales,0.3164,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23979?c=ripley
Ejecutivo de Servicios - Turnos Rotativos,Empresas Carozzi,"San Bernardo, Metropolitana de Santiago",0.3162,2026-08-05,https://carozzi.trabajando.cl/trabajo-empleo/ejecutivo-de-servicios-turnos-rotativos/trabajo/6109568
Asistente Comercial JP 25,Ripley,Tda Costanera Center (Gesic) - Sucursales,0.3152,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23952?c=ripley
Coordinador TPM - Reñaca,Empresas Carozzi S.A.,"Viña del Mar, Valparaíso",0.3128,2026-08-05,https://carozzi.trabajando.cl/trabajo-empleo/coordinador-tpm-renaca/trabajo/6109613
Asistente Comercial Pt 18,Ripley,Tda Florida Center (Gesic) - Sucursales,0.3124,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23757?c=ripley
Jefe/a de Tienda Parfois Mall Marina Arauco,Forus S.A.,"Las Condes, Metropolitana de Santiago",0.3108,2026-08-05,https://forus.trabajando.cl/trabajo-empleo/jefe-a-de-tienda-parfois-mall-marina-arauco/trabajo/6109379
Asistente Comercial(R),Ripley,Tda Concepcion Castellon Gesic - Sucursales,0.3097,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23918?c=ripley
